Wall time,Step,Value
1789317797,240,-1029.833374
1789317842,760,-1150.473633
1789317862,1000,-1145.959961
1789317917,1640,-1137.414673
1789317924,1720,-1128.744141
1789317935,1840,-1143.130493
1789317962,2160,-1139.703735
1789317973,2280,-1139.964966
1789318024,2880,-1130.833374
1789318034,3000,-1123.800049
1789318103,3800,-1116.863159
1789318130,4120,-1115.800049
1789318144,4280,-1109.790039
1789318213,5080,-1103.119995
1789318258,5600,-1110.76001
1789318296,6040,-1094.76001
1789318313,6240,-1092.199951
1789318324,6360,-1094.369995
1789318354,6720,-1084.619995
1789318391,7160,-1074.859985
1789318407,7360,-1079.22998
1789318414,7440,-1078.189941
1789318417,7480,-1080.819946
1789318430,7640,-1078.819946
1789318456,7960,-1061.26001
1789318492,8320,-1065.819946
1789318509,8520,-1062.949951
1789318546,8960,-1059.150024
1789318567,9200,-1047.199951
1789318584,9400,-1032.52002
1789318636,10000,-1038.180054
1789318656,10240,-1039.25
1789318674,10440,-1051.530029
1789318698,10720,-1061.319946
1789318712,10880,-1069.469971
1789318719,10960,-1076.209961
1789318786,11720,-1106.52002
1789318803,11920,-1118.160034
1789318824,12160,-1122.719971
1789318841,12360,-1120.280029
1789318848,12440,-1123.97998
1789318875,12760,-1116.140015
1789318917,13240,-1130.209961
1789318947,13600,-1138.859985
1789318974,13920,-1130.650024
1789319030,14560,-1111.01001
1789319044,14720,-1115.630005
1789319079,15120,-1108.630005
1789319237,16880,-1186.77002
1789319240,16920,-1184.939941
1789319302,17600,-1256.310059
1789319308,17680,-1251.780029
1789319312,17720,-1254.01001
1789319323,17840,-1275.439941
1789319376,18440,-1342.390015
1789319387,18560,-1377.72998
1789319391,18600,-1377.77002
1789319426,19000,-1396.48999
1789319487,19680,-1448.380005
1789319494,19760,-1470.650024
1789319562,20520,-1585.109985
1789319570,20600,-1604.050049
1789319580,20720,-1615.72998
1789319609,21040,-1688.939941
1789319630,21280,-1695.290039
1789319638,21360,-1717.109985
1789319649,21480,-1759.02002
1789319670,21720,-1820.619995
1789319689,21920,-1833.180054
1789319725,22320,-1904.27002
1789319747,22560,-1919.209961
1789319770,22800,-1981.77002
1789319785,22960,-2033.27002
1789319807,23200,-2096.810059
1789319815,23280,-2101.870117
1789319833,23480,-2145.639893
1789319837,23520,-2150.060059
1789319859,23760,-2182.909912
1789319892,24120,-2204.080078
1789319958,24840,-2234.179932
1789319966,24920,-2238.969971
1789320011,25400,-2276.22998
1789320037,25680,-2296.530029
1789320041,25720,-2298.800049
1789320049,25800,-2294.889893
1789320061,25920,-2308.100098
1789320069,26000,-2319.129883
1789320119,26480,-2392.959961
1789320131,26600,-2405.280029
1789320147,26760,-2425.949951
1789320159,26880,-2420.149902
1789320171,27000,-2441.179932
1789320186,27160,-2428.459961
1789320190,27200,-2428.97998
1789320205,27360,-2444.399902
1789320224,27560,-2429.959961
1789320322,28600,-2476.560059
1789320338,28760,-2525.189941
1789320354,28920,-2542.449951
1789320358,28960,-2542.929932
1789320385,29240,-2583.429932
1789320420,29600,-2626.179932
1789320436,29760,-2621.689941
1789320452,29920,-2652.47998
1789320472,30120,-2689.040039
1789320488,30280,-2696.580078
1789320523,30640,-2713.840088
1789320539,30800,-2710.959961
1789320543,30840,-2714.860107
1789320547,30880,-2724.219971
1789320556,30960,-2723.610107
1789320560,31000,-2722.090088
1789320586,31240,-2759.209961
1789320606,31440,-2809.379883
1789320614,31520,-2824.560059
1789320636,31720,-2863.689941
1789320640,31760,-2876.47998
1789320644,31800,-2887.649902
1789320661,31960,-2920.159912
1789320678,32120,-2946.330078
1789320699,32320,-2968.429932
1789320703,32360,-2966.219971
1789320708,32400,-2968.310059
1789320806,33320,-2997.110107
1789320822,33480,-2991.97998
1789320962,34800,-2934.550049
1789320983,35000,-2925.929932
1789320991,35080,-2909.639893
1789321016,35320,-2875.419922
1789321051,35640,-2898.23999
1789321077,35880,-2893.27002
1789321094,36040,-2898.050049
1789321123,36320,-2910.159912
1789321132,36400,-2917.189941
1789321158,36640,-2935.360107
1789321167,36720,-2933.77002
1789321224,37280,-2962.350098
1789321228,37320,-2960.530029
1789321267,37720,-2965.23999
1789321279,37840,-2966.550049
1789321314,38200,-2943.209961
1789321329,38360,-2941.699951
1789321345,38520,-2957.719971
1789321380,38880,-2979.469971
1789321384,38920,-2977.350098
1789321408,39160,-3001.360107
1789321411,39200,-3005.149902
1789321431,39400,-3000.580078
1789321476,39880,-2926.840088
1789321499,40120,-2906.97998
1789321510,40240,-2892.370117
1789321547,40600,-2850.610107
1789321558,40720,-2834.340088
1789321590,41040,-2809.379883
1789321637,41520,-2805.47998
1789321664,41800,-2788.070068
1789321714,42320,-2783.27002
1789321738,42560,-2781.52002
1789321749,42680,-2783.169922
1789321757,42760,-2780.179932
1789321772,42920,-2775.300049
1789321788,43080,-2774.159912
1789321796,43160,-2776.77002
1789321815,43360,-2778.360107
1789321819,43400,-2777.040039
1789321854,43760,-2811.280029
1789321877,44000,-2816.120117
1789321892,44160,-2821.939941
1789321896,44200,-2826.699951
1789321933,44600,-2808.97998
1789321952,44800,-2802.870117
1789322006,45360,-2778.879883
1789322090,46240,-2788.889893
1789322094,46280,-2789.550049
1789322109,46440,-2765.949951
1789322113,46480,-2770.850098
1789322117,46520,-2775.73999
1789322186,47240,-2725.179932
1789322236,47720,-2717.02002
1789322240,47760,-2718.870117
1789322263,48000,-2738.899902
1789322271,48080,-2740.860107
1789322291,48280,-2755.649902
1789322393,49320,-2858.76001
1789322401,49400,-2856.530029
1789322439,49800,-2882.649902
1789322482,50240,-2894.919922
1789322494,50360,-2909.870117
1789322506,50480,-2912.800049
1789322584,51280,-2944.560059
1789322607,51520,-2944.290039
1789322635,51800,-2959.310059
1789322658,52040,-2957.459961
1789322698,52440,-2968.98999
1789322721,52680,-2971.639893
1789322733,52800,-2963.550049
1789322764,53120,-2969.26001
1789322776,53240,-2974.879883
1789322789,53360,-2965.73999
1789322802,53480,-2981.379883
1789322806,53520,-2980.959961
1789322878,54240,-3016.719971
1789322937,54840,-3044.540039
1789322996,55440,-3054.939941
1789323008,55560,-3049.320068
1789323012,55600,-3047.399902
1789323020,55680,-3057.469971
1789323024,55720,-3058.639893
1789323111,56600,-3052.300049
1789323131,56800,-3060.899902
1789323143,56920,-3063.75
1789323159,57080,-3064.550049
1789323167,57160,-3063.110107
1789323183,57320,-3063.169922
1789323200,57480,-3070.280029
1789323215,57640,-3045.780029
1789323312,58640,-2965.459961
1789323315,58680,-2961.709961
1789323356,59120,-2887.090088
1789323386,59440,-2838.379883
1789323390,59480,-2837.850098
1789323401,59600,-2815.449951
1789323408,59680,-2791.919922
1789323445,60080,-2725.169922
1789323471,60360,-2654.469971
1789323526,60960,-2533.399902
1789323530,61000,-2527.370117
1789323541,61120,-2511.120117
1789323633,62080,-2444.75
1789323637,62120,-2442.840088
1789323644,62200,-2452.909912
1789323697,62760,-2435.040039
1789323701,62800,-2428.790039
1789323735,63160,-2446.790039
1789323758,63400,-2460.100098
1789323773,63560,-2452.850098
1789323807,63920,-2476.090088
1789323833,64200,-2472.73999
1789323837,64240,-2469.030029
1789323855,64440,-2472.419922
1789323884,64760,-2468.77002
1789323917,65120,-2431.179932
1789323935,65320,-2389.280029
1789323953,65520,-2367.550049
1789323964,65640,-2352.679932
1789323983,65840,-2335.169922
1789323994,65960,-2322.77002
1789324009,66120,-2316.379883
1789324040,66440,-2311.709961
1789324071,66760,-2337.120117
1789324098,67040,-2361.290039
1789324126,67320,-2379.530029
1789324161,67680,-2419.409912
1789324178,67840,-2447.360107
1789324182,67880,-2447.060059
1789324186,67920,-2452.679932
1789324194,68000,-2471.399902
1789324207,68120,-2490.72998
1789324234,68400,-2513.77002
1789324269,68760,-2594.76001
1789324308,69160,-2679.399902
1789324323,69320,-2698.409912
1789324331,69400,-2714.330078
1789324343,69520,-2740.780029
1789324362,69720,-2784.719971
1789324374,69840,-2806.050049
1789324378,69880,-2819.909912
1789324382,69920,-2835.070068
1789324402,70120,-2847.620117
1789324457,70680,-2883.290039
1789324492,71040,-2873.100098
1789324514,71280,-2832.560059
1789324539,71560,-2784.409912
1789324543,71600,-2772.120117
1789324576,71960,-2728.899902
1789324601,72240,-2676
1789324646,72720,-2613.800049
1789324678,73080,-2528.189941
1789324692,73240,-2491.840088
1789324728,73640,-2406.149902
1789324743,73800,-2367.719971
1789324761,74000,-2317.860107
1789324775,74160,-2280.600098
1789324820,74680,-2171.02002
1789324831,74800,-2154.959961
1789324852,75040,-2116.850098
1789324855,75080,-2115.27002
1789324859,75120,-2112.189941
1789324978,76480,-2069.26001
1789324999,76720,-2048.090088
1789325023,77000,-2062.070068
1789325044,77240,-2067.48999
1789325058,77400,-2068.280029
1789325065,77480,-2069.669922
1789325072,77560,-2069.300049
1789325093,77800,-2061.219971
1789325104,77920,-2063.26001
1789325111,78000,-2063.850098
1789325121,78120,-2068.790039
1789325173,78720,-2069.310059
1789325180,78800,-2067.01001
1789325222,79280,-2074.459961
1789325225,79320,-2072.330078
1789325229,79360,-2075.02002
1789325279,79920,-2058.77002
1789325293,80080,-2057.929932
1789325308,80240,-2057.26001
1789325337,80560,-2067.709961
1789325351,80720,-2067.47998
1789325380,81040,-2061.22998
1789325387,81120,-2065.22998
1789325398,81240,-2070.080078
1789325408,81360,-2064.209961
1789325419,81480,-2067.179932
1789325437,81680,-2059.429932
1789325506,82440,-2074.219971
1789325549,82920,-2063.870117
1789325552,82960,-2067.120117
1789325563,83080,-2069.870117
1789325567,83120,-2068.02002
1789325574,83200,-2052.5
1789325581,83280,-2062.879883
1789325596,83440,-2066.649902
1789325611,83600,-2058.080078
1789325630,83800,-2066.639893
1789325637,83880,-2064.689941
1789325691,84480,-2047.119995
1789325705,84640,-2025.390015
1789325730,84920,-1977.650024
1789325797,85680,-1891.150024
1789325808,85800,-1892.089966
1789325811,85840,-1893.079956
1789325826,86000,-1866.73999
1789325833,86080,-1856.050049
1789325850,86280,-1805.920044
1789325882,86640,-1750.800049
1789325896,86800,-1729
1789325903,86880,-1731.619995
1789325912,86960,-1715.939941
1789325928,87120,-1704.859985
1789325964,87520,-1650.380005
1789325972,87600,-1646.530029
1789325979,87680,-1631.189941
1789325983,87720,-1625.060059
1789325998,87880,-1624.5
1789326009,88000,-1601.569946
1789326037,88320,-1595.890015
1789326051,88480,-1562.069946
1789326101,89040,-1576.719971
1789326116,89200,-1578.930054
1789326123,89280,-1566.530029
1789326140,89480,-1574.73999
1789326144,89520,-1572.530029
1789326151,89600,-1567.48999
1789326161,89720,-1560.819946
1789326168,89800,-1540.650024
1789326175,89880,-1536.880005
1789326179,89920,-1528.880005
1789326203,90200,-1541
1789326215,90320,-1562.369995
1789326232,90520,-1564.369995
1789326301,91280,-1583.319946
1789326336,91680,-1568.98999
1789326358,91920,-1577.949951
1789326380,92160,-1565.709961
1789326394,92320,-1589.699951
1789326397,92360,-1590.969971
1789326437,92800,-1598.560059
1789326440,92840,-1583.599976
1789326447,92920,-1591.97998
1789326492,93440,-1574.839966
1789326528,93840,-1590.52002
1789326559,94200,-1568.150024
1789326618,94880,-1476.560059
1789326680,95600,-1439.689941
1789326683,95640,-1443.790039
1789326690,95720,-1426.619995
1789326717,96040,-1366.660034
1789326724,96120,-1345.060059
1789326738,96280,-1339.819946
1789326772,96680,-1284.959961
1789326800,97000,-1259.47998
1789326803,97040,-1259.079956
1789326841,97480,-1226.369995
1789326868,97800,-1189.319946
1789326889,98040,-1166.209961
1789326892,98080,-1164.930054
1789326899,98160,-1161.26001
1789326905,98240,-1154.22998
1789326922,98440,-1151.5
1789327004,99440,-1044.819946
1789327007,99480,-1044.069946
1789327040,99880,-1020.280029
1789327046,99960,-1013.26001
1789327059,100120,-1009.929993
1789327062,100160,-1004.039978
1789327108,100720,-982.9400024
1789327127,100960,-963.4400024
1789327144,101160,-954.6699829
1789327150,101240,-952.0999756
1789327157,101320,-950.7999878
1789327163,101400,-949.2000122
1789327204,101920,-917.6300049
1789327217,102080,-916.2299805
1789327223,102160,-916.25
1789327233,102280,-911.4899902
1789327262,102640,-905.1699829
1789327265,102680,-905.4199829
1789327296,103080,-895.1300049
1789327303,103160,-892.1400146
1789327340,103640,-881.1900024
1789327343,103680,-879.0200195
1789327346,103720,-878.0900269
1789327359,103880,-876.9400024
1789327371,104040,-872.710022
1789327390,104280,-864.9299927
1789327444,104960,-848.8699951
1789327463,105200,-844.0900269
1789327466,105240,-841.3499756
1789327491,105560,-839.6400146
