Wall time,Step,Value
1789279114.8482947,640,-5867.5
1789279152.595057,960,-5903.54150390625
1789279173.2669828,1120,-5895.78564453125
1789279216.6377168,1440,-5923.97216796875
1789279259.896323,1760,-5919.88623046875
1789279281.8588839,1920,-5940.0
1789279325.4045103,2240,-5946.3212890625
1789279346.7924345,2400,-5937.56689453125
1789279368.4338064,2560,-5929.375
1789279390.2059753,2720,-5920.83837890625
1789279412.5806262,2880,-5918.375
1789279433.474331,3040,-5913.5263671875
1789279455.2448275,3200,-5909.16259765625
1789279476.1057713,3360,-5908.46435546875
1789279520.3939502,3680,-5917.86962890625
1789279563.1108165,4000,-5927.31982421875
1789279584.7334116,4160,-5932.10986328125
1789279693.2519531,4960,-5922.080078125
1789279714.9175656,5120,-5924.1201171875
1789279757.4433,5440,-5911.33984375
1789279779.1414568,5600,-5912.64013671875
1789279824.041064,5920,-5904.0498046875
1789279890.6071463,6400,-5891.35009765625
1789279912.512354,6560,-5902.47021484375
1789279955.3907058,6880,-5907.080078125
1789279977.267669,7040,-5913.43994140625
1789279998.8874931,7200,-5912.18017578125
1789280020.5194209,7360,-5914.8701171875
1789280063.511048,7680,-5898.35009765625
1789280106.2948956,8000,-5889.68017578125
1789280127.825863,8160,-5895.64990234375
1789280192.88094,8640,-5900.47998046875
1789280214.6334474,8800,-5901.77978515625
1789280236.802698,8960,-5902.60986328125
1789280259.1347075,9120,-5908.9599609375
1789280281.269151,9280,-5914.43017578125
1789280346.6279182,9760,-5916.68994140625
1789280368.1544168,9920,-5919.06005859375
1789280410.407205,10240,-5924.14013671875
1789280453.7109501,10560,-5926.2099609375
1789280475.5753386,10720,-5928.3798828125
1789280497.3561184,10880,-5933.22998046875
1789280518.4101837,11040,-5934.35986328125
1789280539.8581686,11200,-5933.18994140625
1789280583.192283,11520,-5919.990234375
1789280604.0645664,11680,-5917.22998046875
1789280625.2846851,11840,-5904.64013671875
1789280646.8602705,12000,-5903.81005859375
1789280690.3868172,12320,-5896.330078125
1789280732.9987705,12640,-5889.080078125
1789280754.744843,12800,-5877.9501953125
1789280798.058639,13120,-5864.68017578125
1789280863.482267,13600,-5849.2900390625
1789280884.7621884,13760,-5848.77978515625
1789280907.0599039,13920,-5849.7099609375
1789280929.2641473,14080,-5857.5498046875
1789280951.0508475,14240,-5859.43017578125
1789280973.1191645,14400,-5854.60009765625
1789281080.179615,15200,-5861.3701171875
1789281186.8531637,16000,-5872.68994140625
1789281250.9317908,16480,-5880.0498046875
1789281293.804566,16800,-5887.990234375
1789281315.5236416,16960,-5886.68017578125
1789281337.2287292,17120,-5890.02001953125
1789281488.6230092,18240,-5880.97021484375
1789281552.7845082,18720,-5876.10009765625
1789281594.5338283,19040,-5874.35986328125
1789281615.7828956,19200,-5871.93017578125
1789281637.731747,19360,-5874.759765625
1789281722.0352745,20000,-5919.990234375
1789281743.0123708,20160,-5925.18994140625
1789281764.1004052,20320,-5929.77978515625
1789281827.8858867,20800,-5950.18017578125
1789281849.5862086,20960,-5951.919921875
1789281914.4143853,21440,-5956.580078125
1789282000.3094196,22080,-5948.27978515625
1789282042.3740768,22400,-5957.7099609375
1789282085.2427106,22720,-5938.22021484375
1789282106.3698666,22880,-5930.64013671875
1789282126.7596767,23040,-5918.080078125
1789282148.0524302,23200,-5905.5400390625
1789282169.2940226,23360,-5909.02978515625
1789282189.8693783,23520,-5899.25
1789282233.7640817,23840,-5883.43994140625
1789282277.8830707,24160,-5882.72021484375
1789282344.1037793,24640,-5877.47021484375
1789282365.503718,24800,-5860.47021484375
1789282386.6985862,24960,-5853.7001953125
1789282429.7149355,25280,-5861.47998046875
1789282450.8083336,25440,-5859.52978515625
1789282472.5839965,25600,-5873.91015625
1789282516.0887682,25920,-5891.3798828125
1789282538.2760987,26080,-5898.2900390625
1789282581.7085247,26400,-5901.81005859375
1789282603.321798,26560,-5910.3798828125
1789282647.0822742,26880,-5928.7998046875
1789282668.9674065,27040,-5939.91015625
1789282690.9330125,27200,-5952.990234375
1789282734.161738,27520,-5955.31982421875
1789282821.9451945,28160,-5931.259765625
1789282843.269819,28320,-5912.990234375
1789282863.900418,28480,-5908.5498046875
1789282885.2878003,28640,-5918.3701171875
1789282927.464161,28960,-5922.85986328125
1789282947.8881187,29120,-5910.9599609375
1789282989.1578171,29440,-5890.740234375
1789283030.4554994,29760,-5867.169921875
1789283050.9271524,29920,-5853.5498046875
1789283071.5939195,30080,-5843.7998046875
1789283092.6017368,30240,-5841.259765625
1789283133.7688777,30560,-5837.75
1789283154.851754,30720,-5836.509765625
1789283303.3713198,31840,-5813.35986328125
1789283391.6798036,32480,-5842.1201171875
1789283478.130771,33120,-5845.02001953125
1789283499.6575308,33280,-5854.25
1789283521.1390944,33440,-5861.43017578125
1789283608.1846952,34080,-5906.68994140625
1789283630.0741827,34240,-5904.009765625
1789283652.5689769,34400,-5915.740234375
1789283674.357067,34560,-5908.009765625
1789283738.6700063,35040,-5873.9599609375
1789283760.4043543,35200,-5886.89013671875
1789283804.1970575,35520,-5903.10009765625
1789283826.2474806,35680,-5911.330078125
1789283848.1324897,35840,-5918.8701171875
1789283892.042961,36160,-5925.85009765625
1789283913.7999692,36320,-5936.85986328125
1789283935.6790879,36480,-5933.14990234375
1789283978.186721,36800,-5917.66015625
1789283999.791122,36960,-5912.25
1789284022.2185812,37120,-5911.89013671875
1789284044.5009558,37280,-5904.64990234375
1789284067.0883503,37440,-5903.47998046875
1789284088.9144998,37600,-5902.7998046875
1789284153.8219535,38080,-5885.58984375
1789284175.5819452,38240,-5894.72021484375
1789284218.6959586,38560,-5892.580078125
1789284302.2927346,39200,-5876.7001953125
