Wall time,Step,Value
1789219425.6382365,240,-7075.16650390625
1789219536.7776396,760,-7027.0
1789219578.8961966,1000,-7016.83984375
1789219692.0056798,1640,-6972.90234375
1789219706.2448783,1720,-6979.3486328125
1789219727.5708115,1840,-6975.80419921875
1789219783.842336,2160,-6968.462890625
1789219804.717735,2280,-6971.33349609375
1789219910.8465014,2880,-6974.04150390625
1789219931.8405206,3000,-6975.94677734375
1789220073.2883596,3800,-6950.6103515625
1789220129.2868962,4120,-6934.22021484375
1789220158.5639517,4280,-6940.43994140625
1789220300.8997557,5080,-6916.009765625
1789220395.0856693,5600,-6973.22998046875
1789220472.6331275,6040,-6989.83984375
1789220508.052534,6240,-6984.56005859375
1789220528.8082805,6360,-6966.9501953125
1789220592.4082851,6720,-6967.330078125
1789220669.855743,7160,-6958.47998046875
1789220704.820314,7360,-6956.27001953125
1789220718.9442105,7440,-6948.68017578125
1789220726.1614528,7480,-6947.9501953125
1789220755.5664933,7640,-6972.97021484375
1789220812.260459,7960,-7006.919921875
1789220875.875093,8320,-6997.0400390625
1789220911.2708554,8520,-7005.18994140625
1789220988.5401065,8960,-6997.02978515625
1789221031.2980013,9200,-6982.27001953125
1789221065.8405185,9400,-6952.240234375
1789221171.3225496,10000,-6907.169921875
1789221213.488403,10240,-6903.35009765625
1789221248.935773,10440,-6921.14013671875
1789221297.8653808,10720,-6913.02978515625
1789221326.1736991,10880,-6921.10009765625
1789221339.8388805,10960,-6910.72021484375
1789221473.6404033,11720,-6889.9501953125
1789221509.682682,11920,-6886.7099609375
1789221552.4369411,12160,-6891.31982421875
1789221588.1671243,12360,-6903.080078125
1789221601.8816495,12440,-6901.4501953125
1789221658.2354033,12760,-6895.7099609375
1789221747.2750585,13240,-6929.52978515625
1789221811.954429,13600,-6943.35986328125
1789221868.9754226,13920,-6940.56982421875
1789221985.5374203,14560,-6954.16015625
1789222015.4085338,14720,-6957.97021484375
1789222086.9405713,15120,-6988.06005859375
1789222400.8262336,16880,-7054.39013671875
1789222407.8305366,16920,-7054.60009765625
1789222528.182077,17600,-7044.31982421875
1789222542.5443766,17680,-7053.56005859375
1789222549.4736342,17720,-7054.41015625
1789222571.2004082,17840,-7065.7099609375
1789222677.5678098,18440,-7063.18017578125
1789222697.9954302,18560,-7061.08984375
1789222705.2986753,18600,-7059.64013671875
1789222782.054822,19000,-7052.669921875
1789222918.4959815,19680,-7009.6298828125
1789222935.3482573,19760,-7018.75
1789223094.3895886,20520,-7052.97998046875
1789223110.2217193,20600,-7041.81005859375
1789223134.3590815,20720,-7045.8798828125
1789223199.4538736,21040,-7067.080078125
1789223248.3497305,21280,-7091.22998046875
1789223264.2830517,21360,-7095.5498046875
1789223288.578929,21480,-7087.7998046875
1789223336.2577858,21720,-7086.89990234375
1789223375.4301827,21920,-7084.47998046875
1789223449.5458431,22320,-7079.14013671875
1789223495.9181423,22560,-7106.8701171875
1789223540.2875211,22800,-7110.4501953125
1789223568.9744167,22960,-7120.56982421875
1789223611.9352348,23200,-7111.740234375
1789223625.7466564,23280,-7114.5
1789223660.9368134,23480,-7119.7099609375
1789223668.1988988,23520,-7121.91015625
1789223710.6858737,23760,-7111.52001953125
1789223773.5658834,24120,-7098.85986328125
1789223899.3209636,24840,-7081.43017578125
1789223913.9563365,24920,-7089.16015625
1789223997.912089,25400,-7051.33984375
1789224047.2477474,25680,-7054.47998046875
1789224054.2098742,25720,-7059.5400390625
1789224067.943704,25800,-7053.81005859375
1789224089.5382848,25920,-7063.83984375
1789224103.4761527,26000,-7059.259765625
1789224187.6239448,26480,-7064.58984375
1789224209.2618089,26600,-7070.580078125
1789224237.3429873,26760,-7076.2998046875
1789224258.6925259,26880,-7067.740234375
1789224280.2346792,27000,-7069.10986328125
1789224308.5991688,27160,-7078.64990234375
1789224315.6432273,27200,-7085.580078125
1789224344.349541,27360,-7099.2900390625
1789224379.5617454,27560,-7091.02978515625
1789224561.8937624,28600,-7084.60009765625
1789224590.5637906,28760,-7100.2998046875
1789224618.5166433,28920,-7083.72998046875
1789224625.7312381,28960,-7082.06982421875
1789224675.5819182,29240,-7110.8701171875
1789224737.9395018,29600,-7092.85986328125
1789224765.9113815,29760,-7092.56982421875
1789224793.9451282,29920,-7081.47021484375
1789224828.1999412,30120,-7078.2900390625
1789224856.371029,30280,-7092.64013671875
1789224919.2146242,30640,-7050.43994140625
1789224947.245643,30800,-7053.68017578125
1789224954.4176002,30840,-7060.919921875
1789224961.2779007,30880,-7055.10009765625
1789224974.9581263,30960,-7053.27978515625
1789224981.635027,31000,-7038.919921875
1789225025.0282733,31240,-7046.35009765625
1789225060.68872,31440,-7051.830078125
1789225074.167639,31520,-7048.89013671875
1789225109.124598,31720,-7044.18994140625
1789225116.5752466,31760,-7059.4599609375
1789225123.5324256,31800,-7062.8798828125
1789225152.459527,31960,-7076.85986328125
1789225180.7146578,32120,-7072.919921875
1789225216.0796468,32320,-7085.77001953125
1789225222.9996698,32360,-7088.66015625
1789225229.90812,32400,-7085.16015625
1789225391.928711,33320,-7062.830078125
1789225420.3277547,33480,-7080.89013671875
1789225656.7885509,34800,-7119.43017578125
1789225691.9175248,35000,-7131.06005859375
1789225706.2077463,35080,-7113.0400390625
1789225749.1116962,35320,-7119.66015625
1789225805.4772053,35640,-7126.830078125
1789225847.8604906,35880,-7124.72998046875
1789225877.0145297,36040,-7141.89013671875
1789225926.0721083,36320,-7120.6201171875
1789225939.6540122,36400,-7117.259765625
1789225983.356707,36640,-7154.60009765625
1789225997.796421,36720,-7164.16015625
1789226097.481243,37280,-7163.89990234375
1789226104.9776373,37320,-7171.2998046875
1789226176.664702,37720,-7216.22998046875
1789226198.8124893,37840,-7231.56005859375
1789226263.4449365,38200,-7258.330078125
