Wall time,Step,Value
1789220045.2917507,640,-6882.75
1789220088.5633605,960,-6957.70849609375
1789220111.990281,1120,-6955.46435546875
1789220160.1437044,1440,-6976.25
1789220208.3335211,1760,-6960.38623046875
1789220232.439071,1920,-6968.89599609375
1789220281.011618,2240,-6956.85693359375
1789220305.9743884,2400,-6954.0498046875
1789220330.9926715,2560,-6954.265625
1789220355.7101078,2720,-6945.970703125
1789220380.5496945,2880,-6954.52783203125
1789220405.3205504,3040,-6956.98681640625
1789220429.1097047,3200,-6953.0498046875
1789220453.032081,3360,-6950.7978515625
1789220501.556164,3680,-6940.46728515625
1789220550.2271729,4000,-6946.16015625
1789220574.5383983,4160,-6953.60986328125
1789220692.3224223,4960,-6955.080078125
1789220717.1763556,5120,-6954.75
1789220767.3363297,5440,-6947.5400390625
1789220792.4652288,5600,-6955.10009765625
1789220841.501701,5920,-6947.2900390625
1789220914.4374888,6400,-6943.990234375
1789220938.3465946,6560,-6938.8701171875
1789220986.3297665,6880,-6921.1201171875
1789221010.5813837,7040,-6923.2099609375
1789221035.5000405,7200,-6932.509765625
1789221060.2592185,7360,-6939.509765625
1789221109.5340307,7680,-6947.02001953125
1789221158.7665398,8000,-6940.35986328125
1789221183.5594065,8160,-6932.27978515625
1789221256.7963858,8640,-6921.14013671875
1789221280.252006,8800,-6914.72021484375
1789221304.1951714,8960,-6915.68994140625
1789221328.799237,9120,-6915.3798828125
1789221352.8818069,9280,-6906.5400390625
1789221426.1025097,9760,-6918.5498046875
1789221450.6194763,9920,-6911.02001953125
1789221499.8783348,10240,-6920.1298828125
1789221545.8936718,10560,-6906.56005859375
1789221568.4443324,10720,-6902.2900390625
1789221591.8475122,10880,-6906.25
1789221615.8923466,11040,-6901.91015625
1789221639.8795717,11200,-6892.43994140625
1789221688.8802712,11520,-6900.81982421875
1789221712.8302839,11680,-6898.080078125
1789221736.843647,11840,-6901.5400390625
1789221761.3017688,12000,-6913.64990234375
1789221809.6287332,12320,-6927.4599609375
1789221860.4055185,12640,-6924.25
1789221884.1488297,12800,-6931.89013671875
1789221935.525512,13120,-6931.2099609375
1789222011.9559681,13600,-6932.35009765625
1789222041.8451495,13760,-6930.60986328125
1789222070.8469005,13920,-6928.4599609375
1789222098.5756035,14080,-6923.31982421875
1789222127.7609918,14240,-6918.75
1789222153.429701,14400,-6942.7900390625
